Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships
MILLER Jack,9,4.0,13.0,9.0,3.0,
LOMAS Bill,9,3.0,4.0,,14.0,2.0
REGGIANI Loris,8,14.0,19.0,5.0,8.0,
BASTIANINI Enea,8,11.0,17.0,9.0,8.0,1.0
SIMON Julian,8,11.0,7.0,10.0,12.0,1.0
LANSIVUORI Teuvo,8,10.0,9.0,12.0,12.0,
FAUBEL Hector,8,7.0,11.0,3.0,9.0,
MORTIMER Chas,7,17.0,15.0,3.0,5.0,
JACQUE Olivier,7,15.0,13.0,17.0,9.0,1.0
SARRON Christian,7,13.0,17.0,11.0,10.0,1.0
BARROS Alex,7,11.0,14.0,5.0,14.0,
CORTESE Sandro,7,10.0,12.0,10.0,11.0,1.0
ARMSTRONG Reg,7,9.0,13.0,,2.0,
VAN KESSEL Henk,7,9.0,9.0,4.0,,1.0
CARRUTHERS Kel,7,9.0,6.0,,8.0,1.0
BRADL Stefan,7,8.0,4.0,8.0,5.0,1.0
VINCENT Arnaud,7,8.0,4.0,4.0,1.0,1.0
LORENZETTI Enrico,7,7.0,7.0,,6.0,1.0
PORTO Sebastian,7,7.0,5.0,11.0,8.0,
CECCHINELLO Lucio,7,7.0,5.0,4.0,10.0,
EKEROLD Jonnie,7,6.0,6.0,2.0,,1.0
UNCINI Franco,7,5.0,9.0,8.0,3.0,1.0
FOGGIA Dennis,7,5.0,6.0,,3.0,
PASOLINI Renzo,6,17.0,12.0,,7.0,
OKADA Tadayuki,6,16.0,14.0,7.0,8.0,
CANET Aron,6,10.0,8.0,7.0,10.0,
BEZZECCHI Marco,6,9.0,9.0,4.0,1.0,
MASETTI Umberto,6,9.0,6.0,,1.0,2.0
MANAKO Tomomi,6,8.0,9.0,,7.0,
GARDNER Remy,6,8.0,3.0,6.0,5.0,1.0
NAKANO Shinya,6,7.0,8.0,5.0,9.0,
LUCCHINELLI Marco,6,7.0,6.0,9.0,9.0,1.0
GARCIA Sergio,6,7.0,,2.0,4.0,
ROMBONI Doriano,6,6.0,10.0,7.0,4.0,
PHILLIS Tom,6,6.0,8.0,,9.0,1.0
AMM Ray,6,6.0,4.0,,9.0,
MARINI Luca,6,6.0,3.0,5.0,5.0,
BERTIN Guy,6,5.0,1.0,8.0,8.0,
LIBERATI Libero,6,4.0,4.0,,3.0,1.0
ARENAS Albert,6,2.0,2.0,,1.0,1.0
TOERSEN Aalt,6,1.0,6.0,,5.0,
ACOSTA Pedro,6,1.0,1.0,1.0,1.0,1.0
HERWEH Manfred,6,,6.0,3.0,3.0,
HARTLE John,5,21.0,8.0,,2.0,
UKAWA Tohru,5,17.0,17.0,3.0,5.0,
MCINTYRE Bob,5,14.0,6.0,,9.0,
KNEUBÜHLER Bruno,5,13.0,15.0,5.0,4.0,
CARDÚS Carlos,5,12.0,9.0,7.0,5.0,
KAVANAGH Ken,5,11.0,8.0,,6.0,
BALDÉ Jean Francois,5,10.0,11.0,7.0,4.0,
DALLA PORTA Lorenzo,5,9.0,2.0,1.0,3.0,1.0
DE PUNIET Randy,5,8.0,11.0,9.0,4.0,
BRADL Helmut,5,8.0,8.0,12.0,5.0,
PERUGINI Stefano,5,8.0,6.0,5.0,8.0,
FOLGER Jonas,5,7.0,12.0,6.0,8.0,
OETTL Peter,5,6.0,9.0,,7.0,
AUINGER August,5,6.0,7.0,3.0,7.0,
DI MEGLIO Mike,5,6.0,2.0,3.0,4.0,1.0
SANDFORD Cecyl,5,5.0,11.0,,3.0,2.0
NIETO Fonsi,5,5.0,8.0,12.0,7.0,
MASIA Jaume,5,5.0,3.0,4.0,11.0,
BALDASSARRI Lorenzo,5,5.0,2.0,2.0,5.0,
CORSI Simone,5,4.0,12.0,5.0,2.0,
TOKUDOME Masaki,5,3.0,3.0,5.0,3.0,
HARTOG Wil,5,2.0,5.0,,2.0,
CHILI Pierfrancesco,5,2.0,4.0,5.0,4.0,
FRITH Freddie,5,,,,5.0,1.0
DE ANGELIS Alex,4,19.0,17.0,11.0,18.0,
ALZAMORA Emilio,4,13.0,13.0,1.0,5.0,1.0
ROLFO Roberto,4,10.0,6.0,,3.0,
JANSSON Borje,4,8.0,13.0,,3.0,
DE RADIGUES Didier,4,8.0,3.0,12.0,3.0,
RITTBERGER Herbert,4,8.0,2.0,1.0,,
DODDS John,4,6.0,11.0,3.0,4.0,
REDDING Scott,4,5.0,9.0,3.0,5.0,
ARBOLINO Tony,4,5.0,4.0,6.0,1.0,
PARLOTTI Gilberto,4,5.0,3.0,,8.0,
KATAYAMA Yoshimi,4,5.0,3.0,,6.0,
RUFFO Bruno,4,5.0,1.0,,6.0,3.0
STASTNY Franta,4,4.0,12.0,,1.0,
SARRON Dominique,4,4.0,8.0,7.0,3.0,
HERRERO Santiago,4,4.0,3.0,,3.0,
TAKAHASHI Kuninitsu,4,3.0,7.0,,3.0,
VIETTI Celestino,4,3.0,5.0,2.0,4.0,
ANTONELLI Niccolò,4,3.0,4.0,9.0,4.0,
PAGANI Nello,4,2.0,5.0,,4.0,1.0
WAIBEL Gerhard,4,2.0,5.0,1.0,,
SMITH Barry,4,2.0,4.0,,2.0,
LODEWIJKX Paul,4,1.0,1.0,,2.0,
DRAPAL Janos,4,,1.0,,2.0,
SMITH Bradley,3,10.0,12.0,9.0,5.0,
DI GIANNANTONIO Fabio,3,10.0,9.0,1.0,3.0,
FINDLAY Jack,3,9.0,13.0,1.0,1.0,
DUFF Mike,3,9.0,12.0,,5.0,
PERRIS Frank,3,8.0,7.0,,2.0,
ROTH Reinhold,3,8.0,4.0,2.0,3.0,
ROBB Tommy,3,7.0,18.0,,2.0,
CORNU Jacques,3,7.0,11.0,3.0,3.0,
GRASSETTI Silvio,3,7.0,11.0,,3.0,
PAGANI Alberto,3,7.0,9.0,,,
ROUGERIE Michel,3,7.0,7.0,6.0,2.0,
BEATTIE Daryl,3,7.0,4.0,,1.0,
HAYDEN Nicky,3,6.0,19.0,5.0,7.0,1.0
FERNANDEZ Patrick,3,6.0,17.0,4.0,1.0,
CRUTCHLOW Cal,3,6.0,10.0,4.0,4.0,
GADEA Sergio,3,6.0,9.0,2.0,6.0,
WIMMER Martin,3,6.0,7.0,8.0,8.0,
MCPHEE John,3,6.0,6.0,5.0,2.0,
KANAYA Hideo,3,6.0,6.0,2.0,4.0,
BUSCHERINI Otello,3,5.0,9.0,4.0,8.0,
HENNEN Pat,3,5.0,4.0,,,
ABE Norick,3,4.0,10.0,,1.0,
GARRIGA Juan,3,4.0,6.0,2.0,11.0,
TIMMER Theo,3,4.0,5.0,,,
TAKAHASHI Yuki,3,4.0,4.0,,,
MILANI Alfredo,3,4.0,2.0,,3.0,
GRAMIGNI Alessandro,3,3.0,6.0,3.0,,1.0
RUGGIA Jean Philippe,3,3.0,4.0,2.0,2.0,
GRANT Mike,3,3.0,3.0,1.0,4.0,
MENDOGNI Emilio,3,3.0,3.0,,2.0,
SANNA Simone,3,3.0,3.0,,1.0,
ROSSI Graziano,3,2.0,2.0,1.0,,
WILLIAMS Charlie,3,2.0,,,2.0,
CANN Maurice,3,2.0,,,2.0,
FERNANDEZ Augusto,3,1.0,7.0,1.0,6.0,
CHECA Carlos,2,14.0,8.0,3.0,5.0,
HERREROS Manuel,2,12.0,8.0,,,1.0
